country,city,area,population
Belarus,Minsk,Not found,9109280
France,Paris,632702,68605616
Germany,Berlin,357114,83491249
Japan,Tokyo,377975,123360000
Brazil,Brasília,8515767,213421037
United States,"Washington, D.C.",9833520,340110988
China,Beijing,9596961,1408280000
India,New Delhi,3287263,1428627663
Russia,Moscow,17098246,146028325
Italy,Rome,301340,58915561
Spain,Madrid,Not found,49442844
Canada,Ottawa,9984670,41651653
Australia,Canberra,7688287,28154600
United Kingdom,London,244376,69281437
Mexico,Mexico City,1972550,131946900
South Korea,Seoul,Not found,52081799
